word,language,part_of_speech,category,meaning_en,meaning_ja,example
babaye,ceb,noun,family_core,girl / woman,女,
igsoon,ceb,noun,family_core,sibling,兄弟,
lolo,ceb,noun,family_extended,grandfather,祖父・お爺さん,
lola,ceb,noun,family_extended,grandmother,祖母・お婆さん,
tiyo,ceb,noun,family_extended,uncle,叔父,
tiya,ceb,noun,family_extended,aunt,叔母,
ig-agaw,ceb,noun,family_extended,cousin,いとこ,
apo,ceb,noun,family_extended,grandchild,孫,
pamangkin,ceb,noun,family_extended,nephew / niece,甥・姪,
bayaw,ceb,noun,family_extended,brother-in-law / sister-in-law,義兄・義妹,
umagad,ceb,noun,family_extended,son-in-law / daughter-in-law,婿・嫁,
biyenan,ceb,noun,family_extended,parent-in-law,舅・姑,
manong,ceb,noun,family_extended,older brother,兄さん,
manay,ceb,noun,family_extended,older sister,姉さん,
igsoon nga lalaki,ceb,noun,family_extended,brother,弟・兄さん,
igsoon nga babaye,ceb,noun,family_extended,sister,妹・姉さん,
amigo,ceb,noun,family_extended,friend (male),友達（男）,
amiga,ceb,noun,family_extended,friend (female),友達（女）,
kaila,ceb,noun,family_extended,acquaintance,知り合い,
silingan,ceb,noun,family_extended,neighbor,隣の人,
bata,ceb,noun,life_stages,child / baby,子供・赤ちゃん,
tin-edyer,ceb,noun,life_stages,teenager,ティーンエイジャー,
batan-on,ceb,noun,life_stages,young person,若者,
tigulang,ceb,noun,life_stages,elderly person,お年寄り,
pagkabata,ceb,noun,life_stages,childhood,子供の頃,
kinabuhi,ceb,noun,life_stages,life,命・生活,
kamatayon,ceb,noun,life_stages,death,死・死亡,
kasal,ceb,noun,life_stages,wedding / marriage,結婚,
pagkatawo,ceb,noun,life_stages,birth,誕生,
pagtilaw,ceb,noun,life_stages,experience,経験,
pagkabatan-on,ceb,noun,life_stages,youth,青春,
doktor,ceb,noun,professions_1,doctor,医者,
nars,ceb,noun,professions_1,nurse,看護師,
magtutudlo,ceb,noun,professions_1,teacher,教師・先生,
estudyante,ceb,noun,professions_1,student,学生,
mag-uuma,ceb,noun,professions_1,farmer,農家・農夫,
mangingisda,ceb,noun,professions_1,fisherman,漁師,
sundalo,ceb,noun,professions_1,soldier,兵士,
pulis,ceb,noun,professions_1,police officer,警察官,
abogado,ceb,noun,professions_1,lawyer,弁護士,
pari,ceb,noun,professions_1,priest,神父・牧師,
negosyante,ceb,noun,professions_1,businessman,事業家,
trabahante,ceb,noun,professions_1,worker / laborer,労働者,
karpentero,ceb,noun,professions_1,carpenter,大工,
mananahi,ceb,noun,professions_1,seamstress / tailor,裁縫師,
drayber,ceb,noun,professions_1,driver,運転手,
mananambal,ceb,noun,professions_1,physician / healer,医療師,
tig-atiman,ceb,noun,professions_1,caregiver,介護師,
kusinero,ceb,noun,professions_1,cook / chef,料理人,
arkitekto,ceb,noun,professions_1,architect,建築士,
inhinyero,ceb,noun,professions_1,engineer,エンジニア,
ulo,ceb,noun,body_external,head,頭,
buhok,ceb,noun,body_external,hair,髪の毛,
mata,ceb,noun,body_external,eye,目,
ilong,ceb,noun,body_external,nose,鼻,
baba,ceb,noun,body_external,mouth,口,
ngipon,ceb,noun,body_external,teeth,歯,
dunggan,ceb,noun,body_external,ear,耳,
liog,ceb,noun,body_external,neck,首,
abaga,ceb,noun,body_external,shoulder,肩,
bukton,ceb,noun,body_external,arm,腕,
kamot,ceb,noun,body_external,hand,手,
tudlo,ceb,noun,body_external,finger,指,
dughan,ceb,noun,body_external,chest,胸,
tiyan,ceb,noun,body_external,stomach / abdomen,お腹・胃,
likod,ceb,noun,body_external,back,背中,
paa,ceb,noun,body_external,leg,足,
tuhod,ceb,noun,body_external,knee,膝,
tiil,ceb,noun,body_external,foot,足,
balat,ceb,noun,body_external,skin,肌,
kilay,ceb,noun,body_external,eyebrow,眉,
ngabil,ceb,noun,body_external,lips,唇,
tudlo sa tiil,ceb,noun,body_external,toe,足の指,
piko,ceb,noun,body_external,elbow,肘,
singot,ceb,noun,body_external,sweat,汗,
kuko,ceb,noun,body_external,fingernail,爪,
pungot,ceb,noun,body_external,beard / facial hair,ひげ,
puso,ceb,noun,body_internal,heart,心臓,
atay,ceb,noun,body_internal,liver,肝臓,
baga,ceb,noun,body_internal,lung,肺,
dugo,ceb,noun,body_internal,blood,血・血液,
bukog,ceb,noun,body_internal,bone,骨,
kaunoran,ceb,noun,body_internal,muscle,筋肉,
utok,ceb,noun,body_internal,brain,脳,
tinai,ceb,noun,body_internal,intestine,腸,
bato-bato,ceb,noun,body_internal,kidney,腎臓,
apdo,ceb,noun,body_internal,bile / gallbladder,胆嚢,
tyan,ceb,noun,body_internal,stomach (organ),胃,
sakit,ceb,noun,health_illness,illness / sickness,病気,
hilanat,ceb,noun,health_illness,fever,熱,
ubo,ceb,noun,health_illness,cough,咳,
sip-on,ceb,noun,health_illness,cold / flu,風,
samad,ceb,noun,health_illness,wound,傷,
presyon,ceb,noun,health_illness,blood pressure,血圧,
diabetes,ceb,noun,health_illness,diabetes,糖尿病,
kanser,ceb,noun,health_illness,cancer,がん,
nerbiyos,ceb,noun,health_illness,nerves / anxiety,神経・不安,
sugat,ceb,noun,health_illness,wound / sore,傷・潰瘍,
hilo,ceb,noun,health_illness,poison / dizziness,毒・めまい,
sakit sa ulo,ceb,noun,health_illness,headache,頭痛,
sakit sa tiyan,ceb,noun,health_illness,stomachache,痛み,
pagsuka,ceb,noun,health_illness,vomiting,嘔吐,
tuhaw,ceb,noun,health_illness,diarrhea,下痢,
tambal,ceb,noun,health_treatment,medicine,薬,
ospital,ceb,noun,health_treatment,hospital,病院,
operasyon,ceb,noun,health_treatment,operation / surgery,手術,
reseta,ceb,noun,health_treatment,prescription,処方箋,
inyeksyon,ceb,noun,health_treatment,injection,注射,
botika,ceb,noun,health_treatment,pharmacy,薬局,
pagsulay,ceb,noun,health_treatment,medical test / check,検査,
kalipay,ceb,noun,emotions_positive,happiness,幸せ・喜び,
gugma,ceb,noun,emotions_positive,love,愛,
paglaum,ceb,noun,emotions_positive,hope,希望,
pagsalig,ceb,noun,emotions_positive,trust,信頼,
kasadya,ceb,noun,emotions_positive,joy / fun,楽しみ,
pagpasalamat,ceb,noun,emotions_positive,gratitude,感謝,
kalinaw,ceb,noun,emotions_positive,peace / calmness,平和・静けさ,
kalipay-kalipay,ceb,noun,emotions_positive,delight,喜び,
pagtagad,ceb,noun,emotions_positive,care / attention,気にかけること,
kasubo,ceb,noun,emotions_negative,sadness,悲しみ,
kasuko,ceb,noun,emotions_negative,anger,錨,
kahadlok,ceb,noun,emotions_negative,fear,恐れ,
pagdumot,ceb,noun,emotions_negative,hate,憎しみ,
kaulaw,ceb,noun,emotions_negative,shame,恥,
kaguol,ceb,noun,emotions_negative,worry / grief,悩み,
inggit,ceb,noun,emotions_negative,envy / jealousy,妬み,
hilak,ceb,noun,emotions_negative,cry / tears,涙,
kasakit,ceb,noun,emotions_negative,pain / hurt,痛み,
kalisang,ceb,noun,emotions_negative,panic / alarm,パニック・驚き,
kahidlaw,ceb,noun,emotions_negative,longing / missing someone,思いこがれる,
huna-huna,ceb,noun,mental_states,thought / mind,考え,
hinumdoman,ceb,noun,mental_states,memory / remembrance,記憶,
damgo,ceb,noun,mental_states,dream,夢,
kabuotan,ceb,noun,mental_states,goodness / virtue,優しさ,
kaalam,ceb,noun,mental_states,knowledge / wisdom,知識,
pagtuo,ceb,noun,mental_states,belief / faith,信仰,
problema,ceb,noun,mental_states,problem,問題,
solusyon,ceb,noun,mental_states,solution,解決,
tuyo,ceb,noun,mental_states,purpose / aim,目的,
pamaagi,ceb,noun,mental_states,method / way,方法,
iro,ceb,noun,animals_mammals,dog,犬,
iring,ceb,noun,animals_mammals,cat,猫,
baboy,ceb,noun,animals_mammals,pig,豚,
baka,ceb,noun,animals_mammals,cow,牛,
kabaw,ceb,noun,animals_mammals,carabao / water buffalo,水牛,
kabayo,ceb,noun,animals_mammals,horse,馬,
kanding,ceb,noun,animals_mammals,goat,山羊,
karnero,ceb,noun,animals_mammals,sheep,羊,
usa,ceb,noun,animals_mammals,deer,鹿,
baboy-ramo,ceb,noun,animals_mammals,wild boar,猪,
unggoy,ceb,noun,animals_mammals,monkey,猿,
leon,ceb,noun,animals_mammals,lion,ライオン,
tigre,ceb,noun,animals_mammals,tiger,トラ,
agila,ceb,noun,animals_birds,eagle,鷲,
maya,ceb,noun,animals_birds,sparrow,雀,
uwak,ceb,noun,animals_birds,crow,カラス,
kalapati,ceb,noun,animals_birds,pigeon / dove,鳩,
papangga,ceb,noun,animals_birds,parrot,オウム,
manok,ceb,noun,animals_birds,chicken,鶏,
itik,ceb,noun,animals_birds,duck,アヒル,
lawin,ceb,noun,animals_birds,hawk,鷹,
langgam,ceb,noun,animals_birds,bird (generic),鳥,
isda,ceb,noun,animals_sea_fish,fish (generic),魚,
bangus,ceb,noun,animals_sea_fish,milkfish,ミルクフィッシュ,
danggit,ceb,noun,animals_sea_fish,rabbitfish,ラビットフィッシュ,
tuna,ceb,noun,animals_sea_fish,tuna,マグロ,
hipon,ceb,noun,animals_sea_fish,shrimp / prawn,海老,
alimango,ceb,noun,animals_sea_fish,crab,蟹,
talaba,ceb,noun,animals_sea_fish,oyster,牡蠣,
pusit,ceb,noun,animals_sea_fish,squid,イカ,
bakasi,ceb,noun,animals_sea_fish,eel,ウナギ,
lumba-lumba,ceb,noun,animals_sea_fish,dolphin,イルカ,
pating,ceb,noun,animals_sea_fish,shark,サメ,
pugita,ceb,noun,animals_sea_fish,octopus,タコ,
buaya,ceb,noun,animals_reptiles,crocodile,ワニ,
bitin,ceb,noun,animals_reptiles,snake,蛇,
bao,ceb,noun,animals_reptiles,turtle / tortoise,亀,
palaka,ceb,noun,animals_reptiles,frog,カエル,
bayawak,ceb,noun,animals_reptiles,monitor lizard,オオトカゲ,
gecko,ceb,noun,animals_reptiles,gecko,ヤモリ,
alibangbang,ceb,noun,animals_insects,butterfly,蝶々,
langgam,ceb,noun,animals_insects,ant,蟻,
bubuyog,ceb,noun,animals_insects,bee,蜂,
lamok,ceb,noun,animals_insects,mosquito,蚊,
ipis,ceb,noun,animals_insects,cockroach,ゴキブリ,
alitaptap,ceb,noun,animals_insects,firefly,蛍,
anunugba,ceb,noun,animals_insects,grasshopper,バッタ,
ulod,ceb,noun,animals_insects,worm / caterpillar,虫・芋虫,
kahoy,ceb,noun,plants_trees,tree / wood,木,
niyog,ceb,noun,plants_trees,coconut tree,ヤシ,
saging,ceb,noun,plants_trees,banana tree,バナナ,
mangga,ceb,noun,plants_trees,mango tree,マンゴー,
kawayan,ceb,noun,plants_trees,bamboo,竹,
akasya,ceb,noun,plants_trees,acacia tree,アカシア,
narra,ceb,noun,plants_trees,narra tree (national tree),ナラ（国木）,
molave,ceb,noun,plants_trees,molave tree,モラベ,
ipil,ceb,noun,plants_trees,ipil tree,イピル,
ylang-ylang,ceb,noun,plants_trees,ylang-ylang tree,イランイランの木,
gulay,ceb,noun,plants_vegetables,vegetable,野菜,
kamote,ceb,noun,plants_vegetables,sweet potato,さつまいも,
kamatis,ceb,noun,plants_vegetables,tomato,トマト,
sibuyas,ceb,noun,plants_vegetables,onion,玉ねぎ,
bawang,ceb,noun,plants_vegetables,garlic,にんにく,
luya,ceb,noun,plants_vegetables,ginger,生姜,
sili,ceb,noun,plants_vegetables,chili pepper,唐辛子,
repolyo,ceb,noun,plants_vegetables,cabbage,キャベツ,
kangkong,ceb,noun,plants_vegetables,water spinach,クウシンサイ,
labanos,ceb,noun,plants_vegetables,radish,大根,
mais,ceb,noun,plants_vegetables,corn / maize,とうもろこし,
sitaw,ceb,noun,plants_vegetables,string beans,インゲン,
talong,ceb,noun,plants_vegetables,eggplant,なす,
ampalaya,ceb,noun,plants_vegetables,bitter melon,ニガウリ,
sayote,ceb,noun,plants_vegetables,chayote,チャヨテ,
patola,ceb,noun,plants_vegetables,sponge gourd,ヘチマ,
mangga,ceb,noun,plants_fruits,mango,マンゴー,
atis,ceb,noun,plants_fruits,sugar apple,バンレイシ,
langka,ceb,noun,plants_fruits,jackfruit,ジャックフルーツ,
durian,ceb,noun,plants_fruits,durian,ドリアン,
lemon,ceb,noun,plants_fruits,lemon,レモン,
kalamansi,ceb,noun,plants_fruits,Philippine lime,カラマンシー,
papaya,ceb,noun,plants_fruits,papaya,パパイヤ,
pinya,ceb,noun,plants_fruits,pineapple,パイナップル,
ubas,ceb,noun,plants_fruits,grapes,ぶどう,
mansanas,ceb,noun,plants_fruits,apple,リンゴ,
guyabano,ceb,noun,plants_fruits,soursop,グアバナ,
marang,ceb,noun,plants_fruits,marang fruit,マラング,
nangka,ceb,noun,plants_fruits,jackfruit (alt),ジャックフルーツ,
rambutan,ceb,noun,plants_fruits,rambutan,ランブータン,
ulan,ceb,noun,weather_phenomena,rain,雨,
hangin,ceb,noun,weather_phenomena,wind,風,
dag-om,ceb,noun,weather_phenomena,cloud,雲,
kilat,ceb,noun,weather_phenomena,lightning,稲妻,
dunal,ceb,noun,weather_phenomena,thunder,雷,
bagyo,ceb,noun,weather_phenomena,typhoon,台風,
baha,ceb,noun,weather_phenomena,flood,洪水,
lindol,ceb,noun,weather_phenomena,earthquake,地震,
bahandi,ceb,noun,weather_phenomena,rainbow,虹,
init,ceb,noun,weather_phenomena,heat,暑さ,
katugnaw,ceb,noun,weather_phenomena,cold weather,寒さ,
ambon,ceb,noun,weather_phenomena,drizzle / mist,霧・小雨,
temperatura,ceb,noun,weather_phenomena,temperature,温度,
klima,ceb,noun,weather_phenomena,climate,気候,
ting-init,ceb,noun,weather_seasons,summer / hot season,夏,
tingtagnaw,ceb,noun,weather_seasons,cold season,冬,
tinglagas,ceb,noun,weather_seasons,harvest season,収穫,
tingpamulak,ceb,noun,weather_seasons,spring season,春,
ulan-ulan,ceb,noun,weather_seasons,rainy season,雨季・梅雨,
adlaw,ceb,noun,geography_landforms,sun / day,太陽・日,
bulan,ceb,noun,geography_landforms,moon / month,月,
bitoon,ceb,noun,geography_landforms,star,星,
langit,ceb,noun,geography_landforms,sky / heaven,空,
yuta,ceb,noun,geography_landforms,land / earth,土,
bukid,ceb,noun,geography_landforms,mountain / hill,山,
lasang,ceb,noun,geography_landforms,forest,森,
uma,ceb,noun,geography_landforms,farm / field,農場,
bato,ceb,noun,geography_landforms,rock / stone,岩,
bungtod,ceb,noun,geography_landforms,hill,丘,
patag,ceb,noun,geography_landforms,plain / flat land,平野,
suba,ceb,noun,geography_coastal,river,川,
dagat,ceb,noun,geography_coastal,sea / ocean,海,
baybay,ceb,noun,geography_coastal,beach / shore,浜,
isla,ceb,noun,geography_coastal,island,島,
pulo,ceb,noun,geography_coastal,island,島,
luok,ceb,noun,geography_coastal,bay / cove,湾,
tubig,ceb,noun,natural_materials,water,水,
kalayo,ceb,noun,natural_materials,fire,火,
buhangin,ceb,noun,natural_materials,sand,砂,
lapok,ceb,noun,natural_materials,mud,泥,
bulawan,ceb,noun,natural_materials,gold,金,
plata,ceb,noun,natural_materials,silver,銀,
puthaw,ceb,noun,natural_materials,iron,鉄,
kahoy,ceb,noun,natural_materials,wood,木,
bato,ceb,noun,natural_materials,stone / rock,石,
uling,ceb,noun,natural_materials,charcoal,炭,
lana,ceb,noun,natural_materials,oil (natural),油,
kan-on,ceb,noun,food_rice_staples,cooked rice,ご飯,
bugas,ceb,noun,food_rice_staples,raw rice / grain,米,
tinapay,ceb,noun,food_rice_staples,bread,パン,
pansit,ceb,noun,food_rice_staples,noodles,ヌードル,
lugaw,ceb,noun,food_rice_staples,rice porridge,お粥,
sinangag,ceb,noun,food_rice_staples,fried rice,チャーハン,
kakanin,ceb,noun,food_rice_staples,rice-based delicacy,もち米菓子,
pagkaon,ceb,noun,food_rice_staples,food,食べ物,
adobo,ceb,noun,food_meat_dishes,braised meat in vinegar,アドボ,
lechon,ceb,noun,food_meat_dishes,roasted pig,レチョン,
nilaga,ceb,noun,food_meat_dishes,boiled meat soup,ニラガ,
tinola,ceb,noun,food_meat_dishes,chicken ginger soup,ティノラ,
bistek,ceb,noun,food_meat_dishes,Filipino beef steak,ビステク,
kare-kare,ceb,noun,food_meat_dishes,oxtail peanut stew,カレカレ,
mechado,ceb,noun,food_meat_dishes,braised beef in tomato sauce,メチャード,
menudo,ceb,noun,food_meat_dishes,pork and liver stew,メヌード,
kinilaw,ceb,noun,food_seafood_dishes,raw fish ceviche,キニラウ,
sinugba,ceb,noun,food_seafood_dishes,grilled fish / meat,シヌグバ,
paksiw,ceb,noun,food_seafood_dishes,fish cooked in vinegar,パクシウ,
escabeche,ceb,noun,food_seafood_dishes,sweet sour fish,エスカベチェ,
ginabot,ceb,noun,food_seafood_dishes,deep fried pork intestine,ギナボット,
sinigang,ceb,noun,food_soups_stews,sour soup,シニガン,
bulalo,ceb,noun,food_soups_stews,bone marrow soup,ブラロ,
ginataan,ceb,noun,food_soups_stews,coconut milk dish,ギナタアン,
utan,ceb,noun,food_veg_dishes,vegetable dish / viand,野菜料理,
pinakbet,ceb,noun,food_veg_dishes,mixed vegetable stew,ピナクベット,
dinuguan,ceb,noun,food_veg_dishes,pork blood stew,ディヌグアン,
lumpia,ceb,noun,food_street_food,spring rolls,ルンピア,
isaw,ceb,noun,food_street_food,grilled intestine skewer,イサウ,
kwek-kwek,ceb,noun,food_street_food,battered quail eggs,クウェックウェック,
fish ball,ceb,noun,food_street_food,fish ball,フィッシュボール,
bibingka,ceb,noun,food_desserts,rice cake,ビビンカ,
puto,ceb,noun,food_desserts,steamed rice cake,プト,
biko,ceb,noun,food_desserts,sticky rice cake,ビコ,
halo-halo,ceb,noun,food_desserts,shaved ice dessert,ハロハロ,
palitaw,ceb,noun,food_desserts,sticky rice sweet,パリタウ,
puto-bumbong,ceb,noun,food_desserts,purple rice tube cake,プトブンボン,
kutsinta,ceb,noun,food_desserts,steamed brown rice cake,クチンタ,
sapin-sapin,ceb,noun,food_desserts,layered rice cake,サピンサピン,
maja blanca,ceb,noun,food_desserts,coconut pudding,マハブランカ,
bagoong,ceb,noun,food_fermented,fermented shrimp paste,バゴオン,
patis,ceb,noun,food_fermented,fish sauce,パティス,
burong isda,ceb,noun,food_fermented,fermented fish,発酵魚,
asin,ceb,noun,food_ingredients,salt,塩,
asukar,ceb,noun,food_ingredients,sugar,砂糖,
suka,ceb,noun,food_ingredients,vinegar,酢,
mantika,ceb,noun,food_ingredients,cooking oil,食用油,
toyo,ceb,noun,food_ingredients,soy sauce,醤油,
gata,ceb,noun,food_ingredients,coconut milk,ヤシミルク,
paminta,ceb,noun,food_ingredients,black pepper,胡椒,
tubig,ceb,noun,drinks_traditional,water,水,
kape,ceb,noun,drinks_traditional,coffee,コーヒー,
tsa,ceb,noun,drinks_traditional,tea,お茶,
gatas,ceb,noun,drinks_traditional,milk,牛乳,
tuba,ceb,noun,drinks_traditional,palm wine,トゥバ,
lambanog,ceb,noun,drinks_traditional,coconut wine,ランバノグ,
juice,ceb,noun,drinks_modern,juice,ジュース,
beer,ceb,noun,drinks_modern,beer,ビール,
softdrinks,ceb,noun,drinks_modern,soda / soft drinks,ソーダ,
tubig mineral,ceb,noun,drinks_modern,mineral water,ミネラルウォーター,
gatas nga may lami,ceb,noun,drinks_modern,flavored milk,フレーバーミルク,
lamesa,ceb,noun,household_furniture,table,テーブル,
lingkoranan,ceb,noun,household_furniture,chair,椅子,
higdaanan,ceb,noun,household_furniture,bed,ベッド,
aparador,ceb,noun,household_furniture,cabinet / wardrobe,タンス,
sofa,ceb,noun,household_furniture,sofa / couch,ソファ,
almario,ceb,noun,household_furniture,wardrobe / closet,クローゼット,
salamin,ceb,noun,household_furniture,mirror,鏡,
kurtina,ceb,noun,household_furniture,curtain,カーテン,
unan,ceb,noun,household_furniture,pillow,枕,
habol,ceb,noun,household_furniture,blanket,毛布,
kaldero,ceb,noun,household_kitchen,cooking pot,鍋,
kawali,ceb,noun,household_kitchen,frying pan / wok,フライパン,
plato,ceb,noun,household_kitchen,plate,皿,
baso,ceb,noun,household_kitchen,glass / cup,コップ,
kutsara,ceb,noun,household_kitchen,spoon,スプーン,
tinidor,ceb,noun,household_kitchen,fork,フォーク,
kutsilyo,ceb,noun,household_kitchen,knife,ナイフ,
ref,ceb,noun,household_kitchen,refrigerator,冷蔵庫,
kalan,ceb,noun,household_kitchen,stove,コンロ,
sudlanan,ceb,noun,household_kitchen,container,入れ物,
kaldero-kaldero,ceb,noun,household_kitchen,small pot,小さい鍋,
mikrowabe,ceb,noun,household_kitchen,microwave,レンジ,
walis,ceb,noun,household_cleaning,broom,箒,
trapo,ceb,noun,household_cleaning,rag / mop cloth,雑巾,
timba,ceb,noun,household_cleaning,bucket,バケツ,
palanggana,ceb,noun,household_cleaning,basin,たらい,
lababo,ceb,noun,household_cleaning,sink,シンク,
gripo,ceb,noun,household_cleaning,faucet,じゃぐち,
sabun,ceb,noun,household_cleaning,soap,石鹸,
basurahan,ceb,noun,household_cleaning,trash can,ごみ箱,
kahon,ceb,noun,household_storage,box / crate,箱,
basket,ceb,noun,household_storage,basket,篭,
maleta,ceb,noun,household_storage,suitcase,スーツケース,
bag-ong sudlanan,ceb,noun,household_storage,new container,新しい入れ物,
pala,ceb,noun,tools_farming,shovel / spade,スコップ,
asarol,ceb,noun,tools_farming,hoe,鍬,
garab,ceb,noun,tools_farming,sickle,鎌,
raket,ceb,noun,tools_farming,rake,レーキ,
abono,ceb,noun,tools_farming,fertilizer,肥料,
pukot,ceb,noun,tools_fishing,fishing net,網,
taga,ceb,noun,tools_fishing,fishing hook,釣り針,
linya,ceb,noun,tools_fishing,fishing line,釣り糸,
salakab,ceb,noun,tools_fishing,fish trap,魚罠,
martilyo,ceb,noun,tools_construction,hammer,ハンマー,
pako,ceb,noun,tools_construction,nail,釘,
serrucho,ceb,noun,tools_construction,saw,のこぎり,
eskuadra,ceb,noun,tools_construction,square (tool),差し金,
gunting,ceb,noun,tools_crafts,scissors,ハサミ,
dagom,ceb,noun,tools_crafts,needle,針,
hilo,ceb,noun,tools_crafts,thread / string,糸,
paleta,ceb,noun,tools_crafts,palette / trowel,鏝刷毛,
t-shirt,ceb,noun,clothing_everyday,t-shirt,Tシャツ,
sinina,ceb,noun,clothing_everyday,shirt / dress,シャツ,
sapatos,ceb,noun,clothing_everyday,shoes,靴,
tsinelas,ceb,noun,clothing_everyday,slippers / sandals,サンダル,
